transaction_id,date,region,category,product,revenue,cost,units,customer_id,segment,status
1,2024-01-05,North,Electronics,Laptop,1200,800,3,C001,Enterprise,valid
2,2024-01-12,South,Apparel,Jacket,250,90,5,C002,Retail,valid
3,2024-02-03,East,Electronics,Phone,900,500,4,C003,Retail,valid
4,2024-02-18,West,Home,Sofa,700,300,2,C001,Enterprise,valid
5,2024-03-07,North,Electronics,Tablet,450,200,6,C004,SMB,valid
6,2024-03-22,South,Apparel,Sneakers,180,60,8,C005,Retail,valid
7,2024-04-10,East,Home,Lamp,120,45,10,C002,Retail,valid
8,2024-04-28,West,Electronics,Monitor,620,350,3,C006,Enterprise,valid
9,2024-05-14,North,Apparel,T-Shirt,90,25,15,C003,Retail,valid
10,2024-05-30,South,Electronics,Headphones,340,150,7,C007,SMB,valid
11,2024-06-08,East,Home,Table,560,210,2,C004,SMB,valid
12,2024-06-25,West,Electronics,Laptop,1350,850,2,C008,Enterprise,valid
13,2024-07-03,North,Home,Chair,310,120,4,C005,Retail,valid
14,2024-07-19,South,Apparel,Jacket,275,95,4,C009,Retail,valid
15,2024-08-06,East,Electronics,Phone,980,530,5,C010,Enterprise,valid
16,2024-08-21,West,Home,Sofa,760,320,1,C006,Enterprise,valid
17,2024-09-09,North,Electronics,Tablet,490,220,5,C001,Enterprise,valid
18,2024-09-27,South,Apparel,Sneakers,210,70,9,C002,Retail,valid
19,2024-10-15,East,Home,Lamp,140,50,12,C007,SMB,valid
20,2024-10-31,West,Electronics,Monitor,680,370,4,C003,Retail,valid
21,2024-11-05,North,Electronics,Laptop,1100,750,2,C009,Enterprise,valid
22,2024-11-18,South,Home,Chair,290,110,3,C004,SMB,valid
23,2024-12-01,East,Apparel,Jacket,260,88,6,C005,Retail,valid
24,2024-12-15,West,Electronics,Phone,950,510,3,C010,Enterprise,valid
25,2024-12-28,North,Home,Table,480,190,2,C006,SMB,valid
